"BehaviorSpace results (NetLogo 5.3)"
"Virus.nlogo"
"experiment"
"01/27/2016 11:08:48:370 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","duration","infectiousness","chance-recover","[step]","count turtles"
"5","10","25","0","130","132"
"7","10","40","0","75","131"
"6","10","25","0","130","131"
"5","10","25","0","131","132"
"7","10","40","0","76","131"
"6","10","25","0","131","131"
"5","10","25","0","132","132"
"2","10","10","0","49","135"
"6","10","25","0","132","131"
"5","10","25","0","133","132"
"7","10","40","0","77","131"
"6","10","25","0","133","131"
"5","10","25","0","134","132"
"7","10","40","0","78","131"
"6","10","25","0","134","131"
"5","10","25","0","135","132"
"2","10","10","0","50","135"
"7","10","40","0","79","131"
"5","10","25","0","136","132"
"6","10","25","0","135","131"
"7","10","40","0","80","131"
"5","10","25","0","137","132"
"6","10","25","0","136","131"
"7","10","40","0","81","131"
"5","10","25","0","138","132"
"6","10","25","0","137","131"
"2","10","10","0","51","135"
"7","10","40","0","82","131"
"5","10","25","0","139","132"
"6","10","25","0","138","131"
"7","10","40","0","83","131"
"5","10","25","0","140","132"
"6","10","25","0","139","131"
"2","10","10","0","52","135"
"5","10","25","0","141","132"
"6","10","25","0","140","130"
"7","10","40","0","84","131"
"6","10","25","0","141","130"
"5","10","25","0","142","132"
"7","10","40","0","85","131"
"6","10","25","0","142","130"
"5","10","25","0","143","132"
"7","10","40","0","86","131"
"2","10","10","0","53","135"
"6","10","25","0","143","130"
"5","10","25","0","144","132"
"7","10","40","0","87","131"
"6","10","25","0","144","130"
"5","10","25","0","145","132"
"7","10","40","0","88","131"
"6","10","25","0","145","130"
"5","10","25","0","146","132"
"7","10","40","0","89","131"
"2","10","10","0","54","135"
"6","10","25","0","146","130"
"5","10","25","0","147","132"
"7","10","40","0","90","131"
"6","10","25","0","147","130"
"5","10","25","0","148","132"
"7","10","40","0","91","131"
"6","10","25","0","148","130"
"5","10","25","0","149","132"
"2","10","10","0","55","135"
"7","10","40","0","92","131"
"6","10","25","0","149","130"
"5","10","25","0","150","132"
"7","10","40","0","93","131"
"6","10","25","0","150","130"
"7","10","40","0","94","131"
"2","10","10","0","56","135"
"2","10","10","0","57","135"
"8","10","40","0","0","150"
"2","10","10","0","58","135"
"9","10","40","0","0","150"
"8","10","40","0","1","150"
"9","10","40","0","1","150"
"8","10","40","0","2","150"
"2","10","10","0","59","135"
"7","10","40","0","95","131"
"8","10","40","0","3","150"
"7","10","40","0","96","131"
"9","10","40","0","2","150"
"8","10","40","0","4","150"
"2","10","10","0","60","135"
"7","10","40","0","97","131"
"8","10","40","0","5","150"
"9","10","40","0","3","150"
"7","10","40","0","98","131"
"8","10","40","0","6","150"
"9","10","40","0","4","150"
"8","10","40","0","7","150"
"7","10","40","0","99","131"
"9","10","40","0","5","150"
"2","10","10","0","61","135"
"8","10","40","0","8","150"
"9","10","40","0","6","150"
"7","10","40","0","100","131"
"7","10","40","0","101","131"
"8","10","40","0","9","150"
"9","10","40","0","7","150"
"7","10","40","0","102","131"
"2","10","10","0","62","135"
"8","10","40","0","10","150"
"9","10","40","0","8","150"
"9","10","40","0","9","150"
"8","10","40","0","11","140"
